age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
48,1,0,17546,0,1,0,0,0,0,1
40,0,3,30085.1,1,3,1,0,1,1,0
51,1,0,16575.4,1,0,1,1,1,0,0
23,1,3,20375.4,1,3,0,0,1,0,0
57,1,1,50576.3,1,0,0,1,0,0,0
57,1,3,37869.6,1,2,0,1,1,0,1
22,0,1,8877.07,0,0,0,0,1,0,1
58,0,3,24946.6,1,0,1,1,1,0,0
37,1,2,25304.3,1,2,1,0,0,0,0
54,0,3,24212.1,1,2,1,1,1,0,0
66,1,3,59803.9,1,0,0,1,1,0,0
52,1,0,26658.8,0,0,1,1,1,1,0
44,1,3,15735.8,1,1,0,1,1,1,1
66,1,3,55204.7,1,1,1,1,1,1,1
36,0,1,19474.6,1,0,0,1,1,1,0
38,1,0,22342.1,1,0,1,1,1,1,0
37,1,3,17729.8,1,2,0,0,0,1,0
46,1,2,41016,1,0,0,1,0,1,0
62,1,0,26909.2,1,0,0,1,0,0,1
31,0,3,22522.8,1,0,1,1,1,0,0
61,0,0,57880.7,1,2,0,1,0,0,1
50,0,3,16497.3,1,2,0,1,1,0,0
54,0,0,38446.6,1,0,0,1,1,0,0
27,1,3,15538.8,0,0,1,1,1,1,0
22,0,0,12640.3,0,2,1,1,1,0,0
56,0,0,41034,1,0,1,1,1,1,0
45,0,0,20809.7,1,0,0,1,1,1,0
39,1,3,20114,1,1,0,0,1,0,1
39,1,0,29359.1,0,3,1,0,1,1,0
61,0,1,24270.1,1,1,0,0,1,0,1
61,1,1,22942.9,1,2,0,1,1,0,0
20,1,3,16325.8,1,2,0,1,0,0,0
45,0,2,23443.2,1,1,1,1,1,0,1
33,1,0,29921.3,0,3,1,1,0,0,0
43,0,2,37521.9,0,0,0,1,1,0,1
27,1,0,19868,1,2,0,1,1,0,0
19,0,1,10953,1,3,1,1,1,0,0
36,1,1,13381,0,0,1,0,1,0,1
43,1,3,18504.3,1,0,1,1,1,0,0
66,1,2,25391.5,0,2,0,0,1,0,0
55,0,3,26774.2,1,0,0,0,1,1,1
47,1,0,26952.6,1,0,1,0,1,0,0
67,0,3,55716.5,0,2,1,1,0,0,1
